species max_log10_error_dex cubic_vs_piecewise_dex pchip_vs_piecewise_dex cubic_vs_pchip_dex
C2H5 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH2NH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH2NH2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H4O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH2NH2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH2OH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH2PH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H4 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H6 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CCP 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CCP+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H4 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H7+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H3N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H5+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH2SH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CCS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CCl 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H2N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CCN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H6CO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9O 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H6+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9HN+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3C4H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH2Si+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H3CO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3COCH3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C10H2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CS+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3NCO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3NCO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C10H- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3NCOH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3NH2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3NH2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3NH3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3O 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C10H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C10H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C10- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C10+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3OCH2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C10 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3OCH3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3OCH3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3OCH4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3OH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3OH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C10H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3CCH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H3CHO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3C3N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C11+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C11 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3C5N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3C6H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3C7N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
